Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Total,Bwd IAT Total,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length
1727337188.285501,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337188.286093,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337188.371469,21,0,3639,0,179,143,173.28571428571428,12.93500234689912,0,inf,0,[],0,0,0,0,0,0,0,420,0
1727337189.180454,1,0,75,0,75,75,75.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337189.313171,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337189.313171,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337189.314191,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337191.356667,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337191.356667,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337191.357542,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337192.381527,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337192.382289,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337192.382289,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337193.405458,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337193.405458,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337193.405548,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337194.428506,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337194.428506,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337194.429322,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337195.029053,6,0,550,0,268,54,91.66666666666667,86.51859145100934,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337195.318808,2,0,339,0,281,58,169.5,157.6848122046001,0,inf,0,[],0,0,0,0,0,0,0,40,0
